state,district,slots,today,Total doses til date
Andaman and Nicobar Islands,North and Middle Andaman,367,52,28635
Andaman and Nicobar Islands,South Andaman,183,86,54412
Andaman and Nicobar Islands,Nicobar,130,0,7624
Andhra Pradesh,Krishna,0,103,406328
Andhra Pradesh,Guntur,0,66,402256
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",0,4,322128
Andhra Pradesh,Kurnool,0,252,339447
Andhra Pradesh,Visakhapatnam,0,5360,403963
Andhra Pradesh,Anantapur,0,1903,387746
Andhra Pradesh,Chittoor,0,919,436432
Andhra Pradesh,East Godavari,0,314,387849
Andhra Pradesh,Prakasam,1,3325,328583
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,906,332093
Andhra Pradesh,Srikakulam,0,740,268800
Andhra Pradesh,Vizianagaram,0,241,226187
Andhra Pradesh,West Godavari,0,270,334529
Arunachal Pradesh,Itanagar Capital Complex,0,50,16833
Arunachal Pradesh,Lower Siang,0,10,3828
Arunachal Pradesh,Pakke Kessang,0,0,2843
Arunachal Pradesh,Changlang,103,68,14966
Arunachal Pradesh,Kurung Kumey,0,36,2304
Arunachal Pradesh,Anjaw,0,0,2028
Arunachal Pradesh,East Kameng,0,17,5703
Arunachal Pradesh,Kamle,0,0,1496
Arunachal Pradesh,Dibang Valley,20,0,710
Arunachal Pradesh,Tirap,0,95,3597
Arunachal Pradesh,Kra Daadi,0,7,1230
Arunachal Pradesh,West Kameng,0,14,11958
Arunachal Pradesh,Lohit,0,2,5450
Arunachal Pradesh,Tawang,0,0,7058
Arunachal Pradesh,Lower Dibang Valley,79,2,6539
Arunachal Pradesh,Lower Subansiri,0,73,6517
Arunachal Pradesh,Lepa Rada,0,1,3751
Arunachal Pradesh,Upper Siang,0,0,5542
Arunachal Pradesh,Shi Yomi,0,0,1867
Arunachal Pradesh,Namsai,0,28,12889
Arunachal Pradesh,Siang,27,0,3997
Arunachal Pradesh,West Siang,0,8,10040
Arunachal Pradesh,Papum Pare,0,20,6786
Arunachal Pradesh,Longding,197,13,2071
Arunachal Pradesh,Upper Subansiri,0,16,7793
Arunachal Pradesh,East Siang,0,66,13459
Assam,Dibrugarh,0,533,119021
Assam,Sivasagar,0,798,62715
Assam,Tinsukia,0,0,72380
Assam,Baksa,0,534,43263
Assam,Barpeta,20,4319,119865
Assam,Darrang,0,209,59547
Assam,Kamrup Metropolitan,10,2707,219620
Assam,Kamrup Rural,78,2588,150135
Assam,Karbi-Anglong,0,180,34674
Assam,Nalbari,0,1894,50730
Assam,Golaghat,0,40,70487
Assam,Jorhat,0,64,81162
Assam,Morigaon,0,1635,59165
Assam,Nagaon,0,7,120910
Assam,Bongaigaon,0,881,53725
Assam,Chirang,0,249,25274
Assam,Dhubri,3,1298,70074
Assam,Goalpara,417,720,52480
Assam,Kokrajhar,15,830,44570
Assam,Dhemaji,0,225,57685
Assam,Lakhimpur,0,128,67653
Assam,Sonitpur,7,2448,95336
Assam,Udalguri,0,91,42078
Assam,Cachar,50,877,89543
