state,district,slots,today,Total doses til date,avgdaily,slots 18-44,today 18,avgdaily 18-44,Total doses til date 18,wastage %,wastage
Andaman and Nicobar Islands,North and Middle Andaman,395,25,28666,12,0,0,144,3086,60.0,15
Andaman and Nicobar Islands,South Andaman,0,34,54577,36,0,680,419,12325,6.44,46
Andaman and Nicobar Islands,Nicobar,0,8,7642,3,0,0,29,997,25.0,2
Andhra Pradesh,Krishna,0,13510,557794,21646,0,1774,1670,110787,1.61,246
Andhra Pradesh,Guntur,0,44250,524426,17460,0,3107,1990,120059,1.08,513
Andhra Pradesh,"YSR District, Kadapa (Cuddapah)",97,20517,410376,12606,0,628,269,53673,2.01,425
Andhra Pradesh,Kurnool,0,35095,407856,9789,0,1105,255,61484,1.38,501
Andhra Pradesh,Visakhapatnam,0,32344,497768,13631,0,7298,4031,142752,1.63,648
Andhra Pradesh,Anantapur,216,18727,488486,14664,0,1678,749,67896,1.75,358
Andhra Pradesh,Chittoor,0,48086,546287,15798,0,2242,1169,101323,1.12,562
Andhra Pradesh,East Godavari,0,57081,565754,25457,0,347,504,117250,0.83,475
Andhra Pradesh,Prakasam,47,11315,433065,15378,0,785,741,69478,1.65,200
Andhra Pradesh,Sri Potti Sriramulu Nellore,0,25575,435149,14822,0,1151,619,71126,1.36,364
Andhra Pradesh,Srikakulam,0,37205,337538,9841,0,404,179,52276,2.34,881
Andhra Pradesh,Vizianagaram,0,26314,300665,10647,0,545,210,42639,1.38,371
Andhra Pradesh,West Godavari,0,12975,461291,18145,0,121,224,61953,1.41,184
Arunachal Pradesh,Itanagar Capital Complex,0,15,16954,24,0,84,116,16816,11.11,11
Arunachal Pradesh,Lower Siang,0,2,3901,12,0,14,3,1157,25.0,4
Arunachal Pradesh,Pakke Kessang,40,9,2909,9,0,1,1,1143,0.0,0
Arunachal Pradesh,Changlang,118,23,15230,47,0,13,150,7653,66.67,24
Arunachal Pradesh,Kurung Kumey,0,21,2386,17,23,117,44,2044,15.94,22
Arunachal Pradesh,Anjaw,0,0,2040,2,0,0,2,1407,0.0,0
Arunachal Pradesh,East Kameng,0,44,5775,13,0,8,61,2540,15.38,8
Arunachal Pradesh,Kamle,0,0,1516,3,0,0,7,733,0.0,0
Arunachal Pradesh,Dibang Valley,0,0,735,4,0,0,1,1027,0.0,0
Arunachal Pradesh,Tirap,0,3,3827,46,0,1,11,3107,150.0,6
Arunachal Pradesh,Kra Daadi,0,3,1448,32,0,19,26,1294,36.36,8
Arunachal Pradesh,West Kameng,0,6,11999,8,0,116,132,5972,14.75,18
Arunachal Pradesh,Lohit,0,1,5513,9,0,10,11,2761,81.82,9
Arunachal Pradesh,Tawang,0,102,7220,23,0,44,60,4065,9.59,14
Arunachal Pradesh,Lower Dibang Valley,140,7,6567,4,0,9,8,3187,87.5,14
Arunachal Pradesh,Lower Subansiri,0,5,6671,32,0,1,10,3258,66.67,4
Arunachal Pradesh,Lepa Rada,0,2,3760,1,0,8,7,1621,0.0,0
Arunachal Pradesh,Upper Siang,0,1,5563,3,0,4,19,2238,100.0,5
Arunachal Pradesh,Shi Yomi,0,0,1918,7,0,0,3,699,0.0,0
Arunachal Pradesh,Namsai,75,189,13313,65,0,5,11,3828,8.25,16
Arunachal Pradesh,Siang,10,75,4173,25,0,2,2,1191,16.88,13
Arunachal Pradesh,West Siang,0,5,10075,6,0,6,15,3336,81.82,9
Arunachal Pradesh,Papum Pare,0,13,6871,15,0,9,33,6101,36.36,8
Arunachal Pradesh,Longding,0,1,2112,6,0,0,53,3005,900.0,9
Arunachal Pradesh,Upper Subansiri,0,6,8026,36,0,3,119,3250,11.11,1
Arunachal Pradesh,East Siang,0,18,13650,37,0,31,22,5650,22.45,11
Assam,Dibrugarh,0,191,123907,773,0,160,1428,54776,5.41,19
Assam,Sivasagar,0,550,66358,634,0,93,62,13859,2.64,17
Assam,Tinsukia,0,467,79396,1002,0,172,114,24321,6.42,41
Assam,Baksa,0,368,46574,547,0,63,196,13672,20.65,89
Assam,Barpeta,0,1879,124851,870,0,252,776,30498,6.52,139
Assam,Darrang,0,1547,66059,945,0,105,391,22527,4.12,68
Assam,Kamrup Metropolitan,0,2831,233879,2392,0,4066,6815,200522,6.13,423
Assam,Kamrup Rural,135,1798,161515,1913,0,193,1314,50696,7.48,149
Assam,Karbi-Anglong,0,169,36093,215,0,16,481,17909,18.92,35
Assam,Nalbari,0,1061,54352,762,0,835,307,15962,4.96,94
Assam,Golaghat,0,1843,77796,1050,0,743,388,23837,0.93,24
Assam,Jorhat,0,247,86018,693,0,11,351,28815,4.65,12
Assam,Morigaon,0,629,63284,859,0,10,91,14757,4.85,31
Assam,Nagaon,0,758,126067,724,0,571,421,34823,4.59,61
Assam,Bongaigaon,0,383,55808,405,0,512,781,23972,11.73,105
